"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"2330","台積電","2370","0.85","10706","0.04","0.42","49.84","150","332","2593.24","253"
"2408","南亞科","518","7.69","83367","2.42","0.71","55.94","175","27","345.02","429"
"2327","國巨*","561","-2.6","38709","7.52","-0.44","40.01","80","131","51.47","218"
"3037","欣興","1145","1.33","14909","0.91","1.45","51.33","128","242","164.3","168"
"2454","聯發科","3715","-3.38","10198","0.64","-0.83","40.01","64","8","160.39","382"
"2308","台達電","1745","-1.13","8407","0.32","0.67","39.74","39","11","259.75","146"
"3008","大立光","5505","-0.81","2658","2.03","-0.65","50.67","1","1","13.08","147"
"2344","華邦電","176","4.76","143748","3.19","-0.22","50.64","1060","208","451.09","254"
"2383","台光電","5970","1.53","2248","0.63","0.78","54.49","6","4","35.83","133"
"3189","景碩","845","-0.47","15796","3","0.04","45.16","1","17","52.69","133"
"8046","南電","1195","1.27","8962","1.39","0.11","47.94","80","20","64.62","107"
"3653","健策","5570","2.01","1646","1.12","1.03","47.18","3","2","14.72","90.7"
"3081","聯亞","2755","2.8","4371","4.29","0.43","50.66","6","2","10.18","120"
"4958","臻鼎-KY","461","0.88","20952","1.88","0.7","44.74","56","89","111.73","95.9"
"2492","華新科","272","-8.72","42620","8.78","-3.46","35.32","254","68","48.52","120"
"1303","南亞","186","-0.8","65219","0.82","-1.77","46.17","272","419","793.08","123"
"3443","創意","5630","6.33","2398","1.79","3.04","55.52","2","3","13.4","131"
"3711","日月光投控","590","0.34","18561","0.41","1.84","44.58","24","42","448.04","108"
"2303","聯電","115.5","0","92982","0.74","1","31.43","824","1230","1257.01","106"
"3017","奇鋐","2975","-3.88","2721","0.69","-0.66","43.02","11","16","39.44","81.5"
"6770","力積電","67","0.6","154176","3.27","-0.89","45.35","483","132","470.91","104"
"8039","台虹","278.5","2.58","41587","15.76","-2","56.9","86","14","26.38","118"
"3450","聯鈞","553","-2.47","11688","8.02","-1.69","41.74","26","11","14.57","65.7"
"6488","環球晶","993","1.02","8432","1.76","1.08","46.64","11","15","47.81","82.8"
"2368","金像電","1025","-1.44","7134","1.35","-0.51","46.64","95","77","52.73","73.5"
"3481","群創","46.1","-1.39","203824","2.55","-0.3","37.07","240","49","798.92","94.2"
"2301","光寶科","267","-2.38","23896","1.03","-1.63","45.12","41","63","231.61","64.9"
"8299","群聯","2000","1.78","3491","1.58","-0.75","41.58","2","36","22.13","70.3"
"2317","鴻海","246","0.41","22336","0.16","-0.17","46.01","238","253","1407.57","55"
"6274","台燿","1565","4.33","4258","1.42","1.2","53.3","13","6","29.95","65.8"
"6182","合晶","110","0","53671","8.45","-0.12","46","142","594","63.54","59.1"
"2345","智邦","2105","-0.94","2155","0.38","0.25","45.79","6","12","56.11","45.2"
"6669","緯穎","6335","-0.63","690","0.37","-0.11","44.26","1","4","18.73","43.8"
"5274","信驊","15750","-0.51","211","0.51","1.18","51.72","1","1","4.16","32.8"
"2059","川湖","13900","-1.38","512","0.54","-0.98","53.8","2","2","9.53","71.9"
"2360","致茂","2140","0.94","1135","0.27","0.56","51.01","6","7","42.52","24.2"
"3661","世芯-KY","3730","2.75","1687","1.95","-0.34","46.32","3","2","8.63","63.1"
"2609","陽明","60.3","2.2","145989","4.18","0.89","56.36","96","124","349.21","87.3"
"3105","穩懋","375.5","3.3","14855","3.5","2.18","50.09","9","3","42.39","54.6"
"2481","強茂","138.5","1.47","31085","8.14","-1.43","46.42","261","256","38.21","43.7"
"6223","旺矽","5670","7.9","793","0.81","3.22","58.06","2","2","9.8","43.6"
"8358","金居","412","0.37","17259","6.83","-0.99","45.07","27","45","25.26","71.8"
"6187","萬潤","1255","-3.83","2921","2.97","-1.41","44.8","25","13","9.83","37.2"
"2455","全新","409.5","3.28","15109","8.06","1.4","48.52","19","11","18.75","61"
"3167","大量","762","9.96","9739","10.77","4.62","59.9","65","0","9.04","70.9"
"2337","旺宏","122","2.52","45814","2.31","0.31","44.63","194","260","198.32","55.7"
"2382","廣達","326.5","-1.36","10712","0.26","-0.27","40.9","39","19","410.76","35.1"
"3231","緯創","179.5","-1.37","23490","0.74","-0.23","41.64","89","134","318.01","42.3"
"2603","長榮","246","2.29","28351","1.31","0.63","56.22","207","635","216.5","69.3"
"3665","貿聯-KY","2255","2.5","1263","0.63","1.37","54.97","6","8","19.96","28.1"
"2615","萬海","113.5","6.57","72992","2.6","3.73","63.02","378","363","280.61","79.9"
"2359","所羅門","157","-2.48","16609","9.68","-2.02","45.46","102","4","17.15","26.6"
"5351","鈺創","117","-7.51","27585","8.39","-3.14","40.37","10","117","32.88","33.3"
"2634","漢翔","72.8","6.12","77680","8.25","-0.74","59.08","53","121","94.19","57"
"5425","台半","89.3","-2.72","26259","9.97","-2.34","40.92","19","13","26.35","24"
"1815","富喬","106.5","8.67","129807","22.17","0.36","76.73","282","1106","58.55","138"
"2884","玉山金","37.3","-1.32","25214","0.16","-0.08","41.43","96","39","1619.2","9.41"
"3042","晶技","187.5","0.81","33312","9.71","0.64","48.4","79","63","34.3","62.1"
"3090","日電貿","171.5","-3.38","21261","7.39","-2.02","46.3","46","70","28.76","37.2"
"6446","藥華藥","1380","-1.43","2137","0.51","-1.41","35.62","1","36","42.24","29.9"
"2324","仁寶","38.55","-1.91","61768","1.4","-1.23","41.26","171","122","440.71","24.1"
"2449","京元電子","236","0.43","10491","0.82","0.53","33.09","28","52","128.39","24.6"
"3374","精材","303","1.34","27224","10.03","-3.22","55.93","22","14","27.14","85.2"
"2409","友達","25.7","-1.72","92971","1.23","-0.93","33.96","1036","147","754.71","24.1"
"6531","愛普*","880","5.14","4291","5.26","0.22","52.78","4","2","8.16","37.7"
"6805","富世達","1845","3.07","1572","2.29","1.2","63.21","15","3","6.86","28.7"
"3406","玉晶光","648","-1.37","2531","2.25","-0.02","39.09","3","2","11.27","16.4"
"5289","宜鼎","1495","-1.32","1744","1.81","-0.88","41.98","7","43","9.64","26.3"
"2395","研華","669","-3.6","3106","0.36","-1.61","41.49","18","2","86.91","21.1"
"5483","中美晶","187","5.95","15842","2.47","3.08","58.39","62","50","64.12","28.7"
"5347","世界","153.5","1.32","7710","0.41","1.01","47.18","86","26","187.85","11.7"
"2464","盟立","179.5","-1.1","11468","5.25","-1.55","43.7","23","69","21.85","20.9"
"6442","光聖","1550","1.31","2028","2.48","-0.22","45.57","23","4","8.18","31.5"
"3045","台灣大","115","1.32","16675","0.45","0.82","80.57","176","5704","372.34","19"
"6451","訊芯-KY","437.5","5.68","6139","5.35","2.05","53.34","15","2","11.47","26.3"
"7769","鴻勁","6490","0.7","365","0.2","1.68","40.17","1","1","17.99","23.3"
"2379","瑞昱","700","-5.15","4288","0.83","-0.96","40.45","11","12","51.55","30.3"
"2885","元大金","62.1","-0.64","22736","0.16","-0.03","43.23","16","57","1386.44","14.1"
"6147","頎邦","163","0.93","13835","1.86","0.05","45.5","34","144","74.46","22.5"
"2313","華通","217.5","4.82","32908","2.67","-0.6","57.11","2","280","123.38","72"
"2357","華碩","914","-1.19","2718","0.37","-0.58","40.43","18","12","74.28","25"
"3532","台勝科","339.5","-4.77","8306","2.14","-1.67","38.63","4","22","38.78","28.7"
"2605","新興","36.2","-1.5","27404","4.68","-1.01","35.89","41","3","58.54","10"
"6239","力成","267","1.71","6560","0.86","0.52","48.06","10","5","75.91","17.4"
"2887","台新新光金","36.05","-0.96","40860","0.16","0.14","47.95","178","121","2511.51","14.7"
"3533","嘉澤","1605","-0.93","1336","1.19","0.3","43.33","16","14","11.25","21.4"
"3529","力旺","2210","-2.21","486","0.65","-1.4","37.05","4","3","7.47","10.9"
"2049","上銀","366","-0.27","11056","3.12","-3.58","44.9","28","39","35.38","42"
"3034","聯詠","525","-1.69","3512","0.58","-0.88","44.56","11","10","60.85","18.6"
"2486","一詮","253.5","7.87","16016","6.65","5.55","57.57","75","39","24.07","38.5"
"3260","威剛","400.5","1.39","5956","1.78","0.68","49.92","9","142","33.45","23.7"
"4971","IET-KY","580","9.85","4964","10.52","4.8","64.74","99","0","4.72","27.5"
"2376","技嘉","344.5","-1.15","5031","0.75","-0.25","37.62","4","24","66.99","17.4"
"3044","健鼎","485","0.94","2306","0.44","0.55","54.55","6","1","52.56","11.1"
"8996","高力","1135","0","2266","2.42","0.85","47.75","17","12","9.35","25.5"
"2891","中信金","63.5","-2.16","53452","0.27","0.76","49.11","148","182","1967.59","33.7"
"8261","富鼎","179","-2.45","6006","5.05","-1.43","37.89","40","35","11.89","10.9"
"6672","騰輝電子-KY","287","1.06","4855","5.91","0.46","48.13","12","21","8.22","13.9"
"3006","晶豪科","248.5","1.22","8321","2.79","0.01","48.4","40","24","29.81","20.7"
"6515","穎崴","6410","0.63","135","0.37","0.49","54.48","1","1","3.64","8.61"
"8021","尖點","408.5","3.81","4664","3.17","-0.56","56.56","3","12","14.72","19.2"
"8210","勤誠","964","-2.13","1197","0.95","-0.92","27.13","8","2","12.56","11.6"
"6173","信昌電","219.5","2.81","38502","22.49","0.74","53.26","33","55","17.12","83.9"
"5536","聖暉*","876","0.34","3321","5.36","0.27","36.04","2","4","6.2","29"
